"","Year","AMO","ShortForecasting","MediumForecasting","LongForecasting","Fit"
"1",1880,0.0635,NA,NA,NA,0.0313282176740436
"2",1881,0.043166667,NA,NA,NA,-0.00524122293763999
"3",1882,-0.025333333,NA,NA,NA,0.0561142973620203
"4",1883,-0.032083333,NA,NA,NA,0.0741337415926377
"5",1884,-0.075333333,NA,NA,NA,0.0146174222694579
"6",1885,-0.02425,NA,NA,NA,-0.0816602955812312
"7",1886,0.123,NA,NA,NA,0.0781946932225288
"8",1887,0.12125,NA,NA,NA,-0.0138640325729509
"9",1888,0.194833333,NA,NA,NA,0.0805680656403444
"10",1889,0.1975,NA,NA,NA,0.186984251193861
"11",1890,-0.144916667,NA,NA,NA,-0.0681160961386638
"12",1891,0.034,NA,NA,NA,0.0963019953739869
"13",1892,-0.09225,NA,NA,NA,-0.0475958475176791
"14",1893,-0.006166667,NA,NA,NA,-0.0247851696246682
"15",1894,-0.24425,NA,NA,NA,-0.178956042642957
"16",1895,-0.095083333,NA,NA,NA,-0.16115904440632
"17",1896,0.10575,NA,NA,NA,-0.0720837649144379
"18",1897,0.109083333,NA,NA,NA,0.0430873492038623
"19",1898,0.0735,NA,NA,NA,-0.0107902801228449
"20",1899,0.12675,NA,NA,NA,0.00170952415958171
"21",1900,0.096416667,NA,NA,NA,0.0941687582759498
"22",1901,0.087666667,NA,NA,NA,0.0364755216839822
"23",1902,-0.10225,NA,NA,NA,-0.152413989883129
"24",1903,-0.19325,NA,NA,NA,-0.210245707506751
"25",1904,-0.348083333,NA,NA,NA,-0.224145451269618
"26",1905,-0.203,NA,NA,NA,-0.270052384661798
"27",1906,-0.0735,NA,NA,NA,-0.130915481138638
"28",1907,-0.22725,NA,NA,NA,-0.231411341527321
"29",1908,-0.130166667,NA,NA,NA,-0.0972987793356978
"30",1909,-0.137083333,NA,NA,NA,-0.103679623300824
"31",1910,-0.2475,NA,NA,NA,-0.136465881873854
"32",1911,-0.21325,NA,NA,NA,-0.09818739662966
"33",1912,-0.227583333,NA,NA,NA,-0.157161898963768
"34",1913,-0.38725,NA,NA,NA,-0.320561080049066
"35",1914,-0.289583333,NA,NA,NA,-0.216109961001027
"36",1915,0.094166667,NA,NA,NA,-0.0933388012084131
"37",1916,-0.075416667,NA,NA,NA,-0.172820031242743
"38",1917,-0.278416667,NA,NA,NA,-0.26392441873814
"39",1918,-0.259583333,NA,NA,NA,-0.0962701946674575
"40",1919,-0.1855,NA,NA,NA,-0.124832538500253
"41",1920,-0.334333333,NA,NA,NA,-0.252984595683436
"42",1921,-0.219416667,NA,NA,NA,-0.188351703951744
"43",1922,-0.319083333,NA,NA,NA,-0.291908349179663
"44",1923,-0.323166667,NA,NA,NA,-0.341087314557944
"45",1924,-0.151416667,NA,NA,NA,-0.243022146012081
"46",1925,-0.15825,NA,NA,NA,-0.212186695791025
"47",1926,0.086833333,NA,NA,NA,0.0750797229479721
"48",1927,0.111416667,NA,NA,NA,-0.000763822775238482
"49",1928,-0.004166667,NA,NA,NA,0.0127062273344366
"50",1929,-0.109833333,NA,NA,NA,0.104238326701656
"51",1930,0.0125,NA,NA,NA,0.00443997263883636
"52",1931,0.180416667,NA,NA,NA,0.0521435871710239
"53",1932,0.23025,NA,NA,NA,0.147426155198041
"54",1933,0.194666667,NA,NA,NA,0.119873007128497
"55",1934,-0.005583333,NA,NA,NA,0.10757573586292
"56",1935,0.019666667,NA,NA,NA,0.0854755338099874
"57",1936,0.152083333,NA,NA,NA,0.182053515567812
"58",1937,0.295166667,NA,NA,NA,0.23928135420006
"59",1938,0.242666667,NA,NA,NA,0.166620789297171
"60",1939,0.11025,NA,NA,NA,0.107740818446791
"61",1940,-0.028666667,NA,NA,NA,-0.012119431185156
"62",1941,0.175,NA,NA,NA,0.238327578232138
"63",1942,0.18425,NA,NA,NA,0.113221292542147
"64",1943,0.03375,NA,NA,NA,0.100677516604557
"65",1944,0.349416667,NA,NA,NA,0.2312443190491
"66",1945,0.220083333,NA,NA,NA,0.156598103886113
"67",1946,0.018916667,NA,NA,NA,0.0689175538205622
"68",1947,-0.085333333,NA,NA,NA,0.0195123908014773
"69",1948,0.012,NA,NA,NA,0.0414649276388086
"70",1949,0.09125,NA,NA,NA,0.068733862918882
"71",1950,-0.0095,NA,NA,NA,0.0322106204151099
"72",1951,0.202083333,NA,NA,NA,0.078433058469509
"73",1952,0.293416667,NA,NA,NA,0.150265504376309
"74",1953,0.26275,NA,NA,NA,0.142749920887577
"75",1954,0.041416667,NA,NA,NA,0.0742458270471401
"76",1955,0.191083333,NA,NA,NA,0.215650584494848
"77",1956,-0.020916667,NA,NA,NA,0.0974087792927178
"78",1957,0.038666667,NA,NA,NA,0.138883051682939
"79",1958,0.212166667,NA,NA,NA,0.210809558451204
"80",1959,0.051,NA,NA,NA,-0.0359451313713382
"81",1960,0.233416667,NA,NA,NA,0.162342801936428
"82",1961,0.097666667,NA,NA,NA,0.045330897404775
"83",1962,0.069833333,NA,NA,NA,0.0816361459757489
"84",1963,0.00225,NA,NA,NA,-0.0691718886012391
"85",1964,-0.097833333,NA,NA,NA,-0.0373585203091122
"86",1965,-0.161916667,NA,NA,NA,0.0106754457400365
"87",1966,0.00175,NA,NA,NA,0.0627896613268647
"88",1967,-0.100583333,NA,NA,NA,-0.0210227537054928
"89",1968,-0.169666667,NA,NA,NA,-0.0491758989229943
"90",1969,0.006583333,NA,NA,NA,0.00442449252049717
"91",1970,-0.106083333,NA,NA,NA,-0.059185392791569
"92",1971,-0.315333333,NA,NA,NA,-0.269372367463329
"93",1972,-0.357083333,NA,NA,NA,-0.344218977699878
"94",1973,-0.21975,NA,NA,NA,-0.347762308711052
"95",1974,-0.424666667,NA,NA,NA,-0.361643496752899
