"","Year","Original","Worst","Best","Medium","Fit"
"1",1960,3.096137473,NA,NA,NA,2.83180957011669
"2",1961,3.067051598,NA,NA,NA,2.92715551352253
"3",1962,3.138003361,NA,NA,NA,2.97973489286662
"4",1963,3.242341631,NA,NA,NA,3.18081506473209
"5",1964,3.358670173,NA,NA,NA,3.2925412784891
"6",1965,3.437569851,NA,NA,NA,3.29931913348965
"7",1966,3.536541152,NA,NA,NA,3.65769857436487
"8",1967,3.575443734,NA,NA,NA,3.58132339740622
"9",1968,3.681966207,NA,NA,NA,3.64719780515224
"10",1969,3.822177939,NA,NA,NA,3.80933128940622
"11",1970,4.013450459,NA,NA,NA,4.09845000717948
"12",1971,4.073056843,NA,NA,NA,4.03979383819488
"13",1972,4.156822729,NA,NA,NA,4.1679529722186
"14",1973,4.297302036,NA,NA,NA,4.19627639878284
"15",1974,4.222237765,NA,NA,NA,4.36242263261545
"16",1975,4.118759693,NA,NA,NA,4.28060331732638
"17",1976,4.283192298,NA,NA,NA,4.27052390851184
"18",1977,4.349600366,NA,NA,NA,4.18700619801318
"19",1978,4.325731261,NA,NA,NA,4.3684309964206
"20",1979,4.487470139,NA,NA,NA,4.18249459848434
"21",1980,4.363206879,NA,NA,NA,4.13344211212418
"22",1981,4.156221896,NA,NA,NA,4.16259071469981
"23",1982,4.050533062,NA,NA,NA,4.12814730896231
"24",1983,3.963860067,NA,NA,NA,4.14377498868249
"25",1984,4.036566429,NA,NA,NA,4.10247517408714
"26",1985,4.086321355,NA,NA,NA,4.05032127406658
"27",1986,4.137356951,NA,NA,NA,4.25091630660813
"28",1987,4.165894461,NA,NA,NA,4.22042071907953
"29",1988,4.240864482,NA,NA,NA,4.26957542456661
"30",1989,4.258173259,NA,NA,NA,4.38321423285001
"31",1990,4.202518716,NA,NA,NA,4.54911744578164
"32",1991,4.185798964,NA,NA,NA,4.36476943024778
"33",1992,4.079228174,NA,NA,NA,4.34096941552591
"34",1993,4.013944181,NA,NA,NA,4.2483614783278
"35",1994,4.025297887,NA,NA,NA,4.11344959303479
"36",1995,4.051038667,NA,NA,NA,4.05698388887959
"37",1996,4.088563535,NA,NA,NA,4.20862909403757
"38",1997,4.096902084,NA,NA,NA,4.09309279837391
"39",1998,4.07107947,NA,NA,NA,4.0994239751321
"40",1999,4.00824008,NA,NA,NA,4.04603028885176
"41",2000,4.055015918,NA,NA,NA,3.75017184997945
"42",2001,4.101080249,NA,NA,NA,3.7430676568993
"43",2002,4.086095087,NA,NA,NA,3.91650052931542
"44",2003,4.273401518,NA,NA,NA,4.05392830893412
"45",2004,4.436350885,NA,NA,NA,4.30898055555897
"46",2005,4.546086686,NA,NA,NA,4.41683864973817
"47",2006,4.650004693,NA,NA,NA,4.6239225193344
"48",2007,4.686394437,NA,NA,NA,4.70387091652875
"49",2008,4.742121181,NA,NA,NA,4.78591868403294
"50",2009,4.663446707,NA,NA,NA,4.85559178191684
"51",2010,4.840819656,NA,NA,NA,4.89963804386871
"52",2011,4.945076842,NA,NA,NA,4.95934921773893
