"","Year","RawData","Worst","Medium","Best"
"1",1960,3.096137473,NA,NA,NA
"2",1961,3.067051598,NA,NA,NA
"3",1962,3.138003361,NA,NA,NA
"4",1963,3.242341631,NA,NA,NA
"5",1964,3.358670173,NA,NA,NA
"6",1965,3.437569851,NA,NA,NA
"7",1966,3.536541152,NA,NA,NA
"8",1967,3.575443734,NA,NA,NA
"9",1968,3.681966207,NA,NA,NA
"10",1969,3.822177939,NA,NA,NA
"11",1970,4.013450459,NA,NA,NA
"12",1971,4.073056843,NA,NA,NA
"13",1972,4.156822729,NA,NA,NA
"14",1973,4.297302036,NA,NA,NA
"15",1974,4.222237765,NA,NA,NA
"16",1975,4.118759693,NA,NA,NA
"17",1976,4.283192298,NA,NA,NA
"18",1977,4.349600366,NA,NA,NA
"19",1978,4.325731261,NA,NA,NA
"20",1979,4.487470139,NA,NA,NA
"21",1980,4.363206879,NA,NA,NA
"22",1981,4.156221896,NA,NA,NA
"23",1982,4.050533062,NA,NA,NA
"24",1983,3.963860067,NA,NA,NA
"25",1984,4.036566429,NA,NA,NA
"26",1985,4.086321355,NA,NA,NA
"27",1986,4.137356951,NA,NA,NA
"28",1987,4.165894461,NA,NA,NA
"29",1988,4.240864482,NA,NA,NA
"30",1989,4.258173259,NA,NA,NA
"31",1990,4.202518716,NA,NA,NA
"32",1991,4.185798964,NA,NA,NA
"33",1992,4.079228174,NA,NA,NA
"34",1993,4.013944181,NA,NA,NA
"35",1994,4.025297887,NA,NA,NA
"36",1995,4.051038667,NA,NA,NA
"37",1996,4.088563535,NA,NA,NA
"38",1997,4.096902084,NA,NA,NA
"39",1998,4.07107947,NA,NA,NA
"40",1999,4.00824008,NA,NA,NA
"41",2000,4.055015918,NA,NA,NA
"42",2001,4.101080249,NA,NA,NA
"43",2002,4.086095087,NA,NA,NA
"44",2003,4.273401518,NA,NA,NA
"45",2004,4.436350885,NA,NA,NA
"46",2005,4.546086686,NA,NA,NA
"47",2006,4.650004693,NA,NA,NA
"48",2007,4.686394437,NA,NA,NA
"49",2008,4.742121181,NA,NA,NA
"50",2009,4.663446707,NA,NA,NA
"51",2010,4.840819656,NA,NA,NA
"52",2011,4.945076842,NA,NA,NA
"53",2012,5.0030670262749,NA,NA,NA
"54",2013,5.13165650689897,NA,NA,NA
"55",2014,5.20045778097258,NA,NA,NA
"56",2015,5.16183093869541,NA,NA,NA
"57",2016,NA,5.29930142352235,5.20372809033718,5.15557936485268
"58",2017,NA,5.30498689678889,5.21089756053799,5.14889938191437
"59",2018,NA,5.29765935611707,5.24213018134964,5.18180019559135
"60",2019,NA,5.25929579453012,5.18732229424576,5.1165729801164
"61",2020,NA,5.10975596162445,5.05909339604389,4.96062945328142
"62",2021,NA,4.92636870564278,4.84286213489798,4.80137870127186
"63",2022,NA,4.80343501238262,4.72319401728332,4.62488497831968
