"","Year","Temperature","Worst","Medium","Best","Fit"
"1",1880,13.8,NA,NA,NA,13.7064976804368
"2",1881,13.89,NA,NA,NA,13.7068032792241
"3",1882,13.91,NA,NA,NA,13.6989943195864
"4",1883,13.8,NA,NA,NA,13.6939978879668
"5",1884,13.73,NA,NA,NA,13.6762320270433
"6",1885,13.7,NA,NA,NA,13.7017955798762
"7",1886,13.7,NA,NA,NA,13.7650744356869
"8",1887,13.67,NA,NA,NA,13.7781167082035
"9",1888,13.8,NA,NA,NA,13.8013081966736
"10",1889,13.89,NA,NA,NA,13.7985850775432
"11",1890,13.64,NA,NA,NA,13.6617044820655
"12",1891,13.76,NA,NA,NA,13.7371090510818
"13",1892,13.73,NA,NA,NA,13.7031571434904
"14",1893,13.7,NA,NA,NA,13.7353446515915
"15",1894,13.69,NA,NA,NA,13.6372001417468
"16",1895,13.79,NA,NA,NA,13.6992243870369
"17",1896,13.85,NA,NA,NA,13.7817814287986
"18",1897,13.89,NA,NA,NA,13.7944606912853
"19",1898,13.72,NA,NA,NA,13.7736992740215
"20",1899,13.85,NA,NA,NA,13.7919377465388
"21",1900,13.91,NA,NA,NA,13.7809762754456
"22",1901,13.86,NA,NA,NA,13.7818723298498
"23",1902,13.73,NA,NA,NA,13.721091868502
"24",1903,13.65,NA,NA,NA,13.6800177112449
"25",1904,13.56,NA,NA,NA,13.6170567504079
"26",1905,13.73,NA,NA,NA,13.6760235430729
"27",1906,13.78,NA,NA,NA,13.739996117098
"28",1907,13.6,NA,NA,NA,13.6913474026056
"29",1908,13.57,NA,NA,NA,13.7317024052286
"30",1909,13.53,NA,NA,NA,13.7299903534044
"31",1910,13.58,NA,NA,NA,13.6858514362951
"32",1911,13.56,NA,NA,NA,13.7084573546471
"33",1912,13.65,NA,NA,NA,13.7156208256793
"34",1913,13.66,NA,NA,NA,13.6432527412404
"35",1914,13.84,NA,NA,NA,13.6792304326612
"36",1915,13.89,NA,NA,NA,13.8408948414463
"37",1916,13.66,NA,NA,NA,13.7854698168026
"38",1917,13.6,NA,NA,NA,13.7224784994952
"39",1918,13.75,NA,NA,NA,13.7278475412855
"40",1919,13.78,NA,NA,NA,13.7579450081856
"41",1920,13.74,NA,NA,NA,13.6981765752058
"42",1921,13.79,NA,NA,NA,13.7466632293167
"43",1922,13.73,NA,NA,NA,13.7170519927712
"44",1923,13.77,NA,NA,NA,13.7129256259395
"45",1924,13.73,NA,NA,NA,13.7744263366547
"46",1925,13.81,NA,NA,NA,13.7769372437148
"47",1926,13.91,NA,NA,NA,13.8877879246906
"48",1927,13.8,NA,NA,NA,13.9224870247163
"49",1928,13.79,NA,NA,NA,13.8686821996095
"50",1929,13.64,NA,NA,NA,13.827527410682
"51",1930,13.86,NA,NA,NA,13.8824634269504
"52",1931,13.91,NA,NA,NA,13.959334405153
"53",1932,13.84,NA,NA,NA,13.9901870389582
"54",1933,13.72,NA,NA,NA,13.9724825484467
"55",1934,13.87,NA,NA,NA,13.8877670381512
"56",1935,13.81,NA,NA,NA,13.899345916762
"57",1936,13.85,NA,NA,NA,13.9618780921775
"58",1937,13.98,NA,NA,NA,14.0375153663364
"59",1938,13.98,NA,NA,NA,14.0166358500379
"60",1939,13.97,NA,NA,NA,13.9583033733513
"61",1940,14.08,NA,NA,NA,13.9079089198365
"62",1941,14.13,NA,NA,NA,13.9875297546263
"63",1942,14.1,NA,NA,NA,14.0054430900585
"64",1943,14.14,NA,NA,NA,13.9293199108315
"65",1944,14.26,NA,NA,NA,14.0515517850096
"66",1945,14.12,NA,NA,NA,13.9950205319282
"67",1946,13.96,NA,NA,NA,13.9154888076227
"68",1947,13.96,NA,NA,NA,13.8986952269853
"69",1948,13.91,NA,NA,NA,13.9366788691138
"70",1949,13.91,NA,NA,NA,13.9586109748689
"71",1950,13.82,NA,NA,NA,13.9159125459819
"72",1951,13.93,NA,NA,NA,14.0325280178459
"73",1952,14.01,NA,NA,NA,14.0586386469482
"74",1953,14.08,NA,NA,NA,14.0590493448151
"75",1954,13.88,NA,NA,NA,13.9424681691631
"76",1955,13.86,NA,NA,NA,13.9979288343534
"77",1956,13.8,NA,NA,NA,13.9335941268074
"78",1957,14.03,NA,NA,NA,14.0051410730337
"79",1958,14.06,NA,NA,NA,14.0830424080838
"80",1959,14.03,NA,NA,NA,14.0069652209793
"81",1960,13.97,NA,NA,NA,14.0884389791915
"82",1961,14.05,NA,NA,NA,14.0405630913154
"83",1962,14.02,NA,NA,NA,14.0225123813921
"84",1963,14.06,NA,NA,NA,14.0131465614331
"85",1964,13.8,NA,NA,NA,13.9539960134958
"86",1965,13.9,NA,NA,NA,13.9606168610633
"87",1966,13.95,NA,NA,NA,14.0197849657604
"88",1967,13.98,NA,NA,NA,13.9806692772731
"89",1968,13.93,NA,NA,NA,13.9720551435014
"90",1969,14.07,NA,NA,NA,14.0801260413069
"91",1970,14.03,NA,NA,NA,14.0132786549791
"92",1971,13.91,NA,NA,NA,13.9277091772415
"93",1972,14.01,NA,NA,NA,13.963161627913
"94",1973,14.15,NA,NA,NA,14.0036636915698
"95",1974,13.92,NA,NA,NA,13.9286263269312
"96",1975,13.98,NA,NA,NA,13.9815969309331
"97",1976,13.88,NA,NA,NA,13.98190246005
"98",1977,14.18,NA,NA,NA,14.0722224097073
"99",1978,14.07,NA,NA,NA,14.0767933046869
"100",1979,14.16,NA,NA,NA,14.1398991241741
"101",1980,14.27,NA,NA,NA,14.1878659779644
"102",1981,14.32,NA,NA,NA,14.1663417929704
"103",1982,14.13,NA,NA,NA,14.163162762201
"104",1983,14.3,NA,NA,NA,14.2405862375501
"105",1984,14.16,NA,NA,NA,14.153014835172
"106",1985,14.11,NA,NA,NA,14.134785407005
"107",1986,14.19,NA,NA,NA,14.1556540116338
"108",1987,14.33,NA,NA,NA,14.3335779873774
"109",1988,14.4,NA,NA,NA,14.2806376943919
"110",1989,14.28,NA,NA,NA,14.2738689423388
"111",1990,14.43,NA,NA,NA,14.3252978673943
"112",1991,14.42,NA,NA,NA,14.3050531709387
"113",1992,14.22,NA,NA,NA,14.2857324871363
"114",1993,14.24,NA,NA,NA,14.2839047545322
"115",1994,14.31,NA,NA,NA,14.3007016027711
"116",1995,14.45,NA,NA,NA,14.4331278704166
"117",1996,14.34,NA,NA,NA,14.3615658295665
"118",1997,14.47,NA,NA,NA,14.4539944809157
"119",1998,14.63,NA,NA,NA,14.5915485596679
"120",1999,14.41,NA,NA,NA,14.4770426305902
"121",2000,14.42,NA,NA,NA,14.4571880839233
"122",2001,14.54,NA,NA,NA,14.5186998256138
"123",2002,14.63,NA,NA,NA,14.5265245932328
"124",2003,14.61,NA,NA,NA,14.6101412026568
"125",2004,14.54,NA,NA,NA,14.6186062262473
"126",2005,14.69,NA,NA,NA,14.6571357640658
"127",2006,14.64,NA,NA,NA,14.6707266395277
"128",2007,14.66,NA,NA,NA,14.6115182598594
"129",2008,14.54,NA,NA,NA,14.6274043156581
"130",2009,14.65,NA,NA,NA,14.6130616095583
"131",2010,14.72,NA,NA,NA,14.7435582913492
"132",2011,14.6,NA,NA,NA,14.6492500246162
"133",2012,14.64,NA,NA,NA,NA
"134",2013,14.66,NA,NA,NA,NA
"135",2014,14.75,NA,NA,NA,NA
"136",2015,14.87,14.87,14.87,14.87,NA
"137",2016,NA,15.0649804104196,15.0467002468964,15.0147096246448,NA
"138",2017,NA,15.1210385994565,15.0987972220739,15.0786542987941,NA
"139",2018,NA,15.1248323565173,15.1082464353235,15.0713785046865,NA
"140",2019,NA,15.1089351560464,15.0834918448073,15.0562358137413,NA
"141",2020,NA,15.0380929031476,15.0160694442275,14.9977310265479,NA
"142",2021,NA,15.0742194739951,15.0545344429019,15.0159498200748,NA
"143",2022,NA,15.1114760736366,15.0828426734534,15.0506395725592,NA
"144",2023,NA,15.1121655471441,15.09259520897,15.0570224639706,NA
"145",2024,NA,15.0694232439406,15.0413217902697,15.0171801347162,NA
"146",2025,NA,15.1338085556035,15.1175521094077,15.0866891883553,NA
"147",2026,NA,15.1257932104162,15.1046218572251,15.07355486479,NA
"148",2027,NA,15.1992392213598,15.1676108880981,15.1485162539649,NA
"149",2028,NA,15.2508586603125,15.2274234675399,15.192990956439,NA
"150",2029,NA,15.1676920772608,15.1505060424603,15.1221835039254,NA
"151",2030,NA,15.2396494582654,15.220047448393,15.1803626336089,NA
"152",2031,NA,15.2505735301919,15.2202324807677,15.2154869040075,NA
"153",2032,NA,15.306981379969,15.2791909558602,15.2416931593292,NA
"154",2033,NA,15.2467340555789,15.2220285207396,15.1809481971063,NA
"155",2034,NA,15.2116856143301,15.1870005019826,15.1534614791618,NA
"156",2035,NA,15.201211915908,15.1743853720917,15.1556299174031,NA
"157",2036,NA,15.2662902010751,15.2404672788549,15.2152695887332,NA
"158",2037,NA,15.321052815486,15.2916393281292,15.2589898686472,NA
"159",2038,NA,15.2670179453107,15.2466506723132,15.1968133936237,NA
"160",2039,NA,15.348958375123,15.3175682834284,15.3108273646483,NA
"161",2040,NA,15.3205137767078,15.2881911889299,15.2518209739296,NA
"162",2041,NA,15.2422563960981,15.2103224493332,15.1887489627517,NA
"163",2042,NA,15.2568535903373,15.2222502957431,15.1885476101562,NA
"164",2043,NA,15.326407932066,15.2962381846871,15.2601680165838,NA
"165",2044,NA,15.234041797861,15.2070054816096,15.1623297875481,NA
"166",2045,NA,15.3098566556825,15.2910844302516,15.2477066488222,NA
"167",2046,NA,15.2801245327149,15.3166435933325,15.3166960156149,NA
"168",2047,NA,15.3974759964986,15.4086903773212,15.4059323162251,NA
"169",2048,NA,15.4267322861089,15.4418433617974,15.3911851771511,NA
"170",2049,NA,15.4670299519983,15.4818586367267,15.4131629097837,NA
"171",2050,NA,15.5730127376023,15.5285523903,15.4198265966394,NA
"172",2051,NA,15.6290025036527,15.5368826428086,15.410118113165,NA
"173",2052,NA,15.6913242256805,15.556491548947,15.4308641649227,NA
"174",2053,NA,15.7200839137421,15.5173091002998,15.4024659084144,NA
"175",2054,NA,15.7377900108987,15.544540881747,15.3941956260855,NA
"176",2055,NA,15.7859830581824,15.5671286465056,15.4436065553332,NA
"177",2056,NA,15.7995467810253,15.5015430164037,15.3914398171894,NA
"178",2057,NA,15.7740337811706,15.5256588881417,15.3467632088295,NA
"179",2058,NA,15.7653429574339,15.4590374801866,15.356762493941,NA
"180",2059,NA,15.7682041648284,15.5191622534187,15.3818430579827,NA
"181",2060,NA,15.6614588035695,15.4826437662308,15.352369552123,NA
"182",2061,NA,15.6399404808014,15.4772212912814,15.4162983359588,NA
"183",2062,NA,15.5976298440197,15.5490664791622,15.4407977612617,NA
"184",2063,NA,15.603956192001,15.4938030117531,15.4479055944912,NA
"185",2064,NA,15.686457974733,15.5801908117668,15.4654567761682,NA
"186",2065,NA,15.737185810189,15.5813475191479,15.5184453884683,NA
"187",2066,NA,15.7970086029234,15.6473963853262,15.532951035325,NA
"188",2067,NA,15.8504005019106,15.6565006822589,15.5296339951266,NA
"189",2068,NA,15.8137785783377,15.5735064372824,15.5177939548228,NA
"190",2069,NA,15.7940184135405,15.597722625884,15.5130594216263,NA
"191",2070,NA,15.7614258550488,15.5833448488071,15.4887793546455,NA
"192",2071,NA,15.8172731956048,15.6267336843754,15.5560665950113,NA
"193",2072,NA,15.846998025001,15.6439134038767,15.56284663729,NA
"194",2073,NA,15.8591445225548,15.6464545064322,15.5539710896031,NA
"195",2074,NA,15.8423475643393,15.6818717891634,15.5517544998992,NA
"196",2075,NA,15.8557725175762,15.6255571599014,15.5357797948755,NA
"197",2076,NA,15.9089406755712,15.7322850245728,15.5841273584058,NA
"198",2077,NA,15.9780976552524,15.8203394147843,15.6483550406403,NA
"199",2078,NA,15.9206065495044,15.762700357099,15.6299431717303,NA
"200",2079,NA,15.8932190259102,15.7439275368185,15.5577381094589,NA
"201",2080,NA,15.8792953028432,15.6948141591848,15.5516462863176,NA
