"","Year","Nino","ShortForecasting","MediumForecasting","Forecasting","Nino_Reverse","Fit"
"1",1880,24.2835634772709,NA,NA,NA,24.2835634772709,NA
"2",1881,24.3762259661472,NA,NA,NA,24.3762259661472,NA
"3",1882,24.9274367400628,NA,NA,NA,24.9274367400628,NA
"4",1883,24.6221248354018,NA,NA,NA,24.6221248354018,NA
"5",1884,24.3852077660587,NA,NA,NA,24.3852077660587,NA
"6",1885,24.3566429149263,NA,NA,NA,24.3566429149263,NA
"7",1886,24.4495401373258,NA,NA,NA,24.4495401373258,NA
"8",1887,25.0023636676773,NA,NA,NA,25.0023636676773,NA
"9",1888,24.6960895911629,NA,NA,NA,24.6960895911629,NA
"10",1889,24.4584168398432,NA,NA,NA,24.4584168398432,NA
"11",1890,24.4297223527591,NA,NA,NA,24.4297223527591,NA
"12",1891,24.5228543086828,NA,NA,NA,24.5228543086828,NA
"13",1892,25.0772905954745,NA,NA,NA,25.0772905954745,NA
"14",1893,24.7700543471048,NA,NA,NA,24.7700543471048,NA
"15",1894,24.5316259138069,NA,NA,NA,24.5316259138069,NA
"16",1895,24.5028017907712,NA,NA,NA,24.5028017907712,NA
"17",1896,24.59616848022,NA,NA,NA,24.59616848022,NA
"18",1897,25.1522175234563,NA,NA,NA,25.1522175234563,NA
"19",1898,24.8440191032292,NA,NA,NA,24.8440191032292,NA
"20",1899,24.6048349879517,NA,NA,NA,24.6048349879517,NA
"21",1900,24.5758812289645,NA,NA,NA,24.5758812289645,NA
"22",1901,24.6694826519392,NA,NA,NA,24.6694826519392,NA
"23",1902,25.2271444516245,NA,NA,NA,25.2271444516245,NA
"24",1903,24.9179838595381,NA,NA,NA,24.9179838595381,NA
"25",1904,24.6780440622794,NA,NA,NA,24.6780440622794,NA
"26",1905,24.6489606673407,NA,NA,NA,24.6489606673407,NA
"27",1906,24.7427968238424,NA,NA,NA,24.7427968238424,NA
"28",1907,25.3020713799811,NA,NA,NA,25.3020713799811,NA
"29",1908,24.9919486160332,NA,NA,NA,24.9919486160332,NA
"30",1909,24.7512531367918,NA,NA,NA,24.7512531367918,NA
"31",1910,24.7220401059017,NA,NA,NA,24.7220401059017,NA
"32",1911,24.8161109959313,NA,NA,NA,24.8161109959313,NA
"33",1912,25.3769983085278,NA,NA,NA,25.3769983085278,NA
"34",1913,25.0659133727165,NA,NA,NA,25.0659133727165,NA
"35",1914,24.8244622114907,NA,NA,NA,24.8244622114907,NA
"36",1915,24.7951195446492,NA,NA,NA,24.7951195446492,NA
"37",1916,24.8894251682077,NA,NA,NA,24.8894251682077,NA
"38",1917,25.4519252372666,NA,NA,NA,25.4519252372666,NA
"39",1918,25.1398781295896,NA,NA,NA,25.1398781295896,NA
"40",1919,24.897671286378,NA,NA,NA,24.897671286378,NA
"41",1920,24.8681989835851,NA,NA,NA,24.8681989835851,NA
"42",1921,24.9627393406735,NA,NA,NA,24.9627393406735,NA
"43",1922,25.5268521661992,NA,NA,NA,25.5268521661992,NA
"44",1923,25.2138428866545,NA,NA,NA,25.2138428866545,NA
"45",1924,24.9708803614555,NA,NA,NA,24.9708803614555,NA
"46",1925,24.9412784227112,NA,NA,NA,24.9412784227112,NA
"47",1926,25.0360535133304,NA,NA,NA,25.0360535133304,NA
"48",1927,25.6017790953276,NA,NA,NA,25.6017790953276,NA
"49",1928,25.287807643913,NA,NA,NA,25.287807643913,NA
"50",1929,25.0440894367249,NA,NA,NA,25.0440894367249,NA
"51",1930,25.0143578620293,NA,NA,NA,25.0143578620293,NA
"52",1931,25.1093676861803,NA,NA,NA,25.1093676861803,NA
"53",1932,25.6767060246536,NA,NA,NA,25.6767060246536,NA
"54",1933,25.361772401367,NA,NA,NA,25.361772401367,NA
"55",1934,25.1172985121882,NA,NA,NA,25.1172985121882,NA
"56",1935,25.0874373015412,NA,NA,NA,25.0874373015412,NA
"57",1936,25.1826818592251,NA,NA,NA,25.1826818592251,NA
"58",1937,25.751632954179,NA,NA,NA,25.751632954179,NA
"59",1938,25.4357371590182,NA,NA,NA,25.4357371590182,NA
"60",1939,25.1905075878471,NA,NA,NA,25.1905075878471,NA
"61",1940,25.1605167412488,NA,NA,NA,25.1605167412488,NA
"62",1941,25.2559960324664,NA,NA,NA,25.2559960324664,NA
"63",1942,25.8265598839058,NA,NA,NA,25.8265598839058,NA
"64",1943,25.5097019168685,NA,NA,NA,25.5097019168685,NA
"65",1944,25.2637166637034,NA,NA,NA,25.2637166637034,NA
"66",1945,25.2335961811538,NA,NA,NA,25.2335961811538,NA
"67",1946,25.3293102059063,NA,NA,NA,25.3293102059063,NA
"68",1947,25.9014868138358,NA,NA,NA,25.9014868138358,NA
"69",1948,25.5836666749198,NA,NA,NA,25.5836666749198,NA
"70",1949,25.336925739759,NA,NA,NA,25.336925739759,NA
"71",1950,25.02,NA,NA,NA,NA,25.2963852711255
"72",1951,26.23,NA,NA,NA,NA,25.4196652771741
"73",1952,25.72,NA,NA,NA,NA,25.9784886062504
"74",1953,26.23,NA,NA,NA,NA,25.7293477178003
"75",1954,25,NA,NA,NA,NA,25.5461498908501
"76",1955,24.67,NA,NA,NA,NA,25.3479695888806
"77",1956,25.27,NA,NA,NA,NA,25.4727002795545
"78",1957,26.55,NA,NA,NA,NA,26.0252793648014
"79",1958,26.19,NA,NA,NA,NA,25.7806610173602
"80",1959,25.58,NA,NA,NA,NA,25.5944099833418
"81",1960,25.56,NA,NA,NA,NA,25.3976617617939
"82",1961,25.44,NA,NA,NA,NA,25.5265006773331
"83",1962,25.28,NA,NA,NA,NA,26.0814421366643
"84",1963,26.12,NA,NA,NA,NA,25.8320831400862
"85",1964,25.05,NA,NA,NA,NA,25.6442900424882
"86",1965,26.43,NA,NA,NA,NA,25.4459662536541
"87",1966,25.63,NA,NA,NA,NA,25.5768746683263
"88",1967,25.21,NA,NA,NA,NA,26.1304291364641
"89",1968,25.55,NA,NA,NA,NA,25.8834655632407
"90",1969,26.43,NA,NA,NA,NA,25.6912493518658
"91",1970,25.14,NA,NA,NA,NA,25.5014819559647
"92",1971,24.83,NA,NA,NA,NA,25.6254323884048
"93",1972,26.76,NA,NA,NA,NA,26.1734865673119
"94",1973,25.22,NA,NA,NA,NA,25.9330316902953
"95",1974,25.19,NA,NA,NA,NA,25.7422646622313
"96",1975,24.96,NA,NA,NA,NA,25.5451825160964
"97",1976,25.97,NA,NA,NA,NA,25.6670637286099
"98",1977,26.07,NA,NA,NA,NA,26.2222390630057
"99",1978,25.54,NA,NA,NA,NA,25.9758053541205
"100",1979,26.17,NA,NA,NA,NA,25.7862326508669
"101",1980,26.02,NA,NA,NA,NA,25.5921295680992
"102",1981,25.64,NA,NA,NA,NA,25.7197231343143
"103",1982,27.03,NA,NA,NA,NA,26.2724662319036
"104",1983,27.01,NA,NA,NA,NA,26.0284317210287
"105",1984,25.49,NA,NA,NA,NA,25.8459335075473
"106",1985,25.23,NA,NA,NA,NA,25.6496575623645
"107",1986,26,NA,NA,NA,NA,25.7732118195864
"108",1987,27.15,NA,NA,NA,NA,26.32925295238
"109",1988,25.13,NA,NA,NA,NA,26.0861319078665
"110",1989,25.45,NA,NA,NA,NA,25.8936715963051
"111",1990,26.02,NA,NA,NA,NA,25.6968623194832
"112",1991,26.5,NA,NA,NA,NA,25.8245512556455
"113",1992,26.51,NA,NA,NA,NA,26.3836584415134
"114",1993,26.39,NA,NA,NA,NA,26.1336172164155
"115",1994,26.17,NA,NA,NA,NA,25.9466046172079
"116",1995,25.68,NA,NA,NA,NA,25.7541520647081
