Year,Temperature,LogCO2 ,AMO,Nino,Solar,IPCC-model fit,IPCC-commit,IPCC-B1,IPCC-A2
1880,13.8,2.463445032,0.0635,NA,1.7,NA,NA,NA,NA
1881,13.89,2.464191371,0.043166667,NA,1.87,NA,NA,NA,NA
1882,13.91,2.464936429,-0.025333333,NA,2.16,NA,NA,NA,NA
1883,13.8,2.465531557,-0.032083333,NA,2.24,NA,NA,NA,NA
1884,13.73,2.466274322,-0.075333333,NA,2.23,NA,NA,NA,NA
1885,13.7,2.46686762,-0.02425,NA,2.44,NA,NA,NA,NA
1886,13.7,2.467312063,0.123,NA,2.25,NA,NA,NA,NA
1887,13.67,2.467756051,0.12125,NA,1.97,NA,NA,NA,NA
1888,13.8,2.468051791,0.194833333,NA,1.75,NA,NA,NA,NA
1889,13.89,2.46834733,0.1975,NA,1.69,NA,NA,NA,NA
1890,13.64,2.468642668,-0.144916667,NA,1.67,NA,NA,NA,NA
1891,13.76,2.468790262,0.034,NA,1.68,NA,NA,NA,NA
1892,13.73,2.469085299,-0.09225,NA,2,NA,NA,NA,NA
1893,13.7,2.469232743,-0.006166667,NA,2.49,NA,NA,NA,NA
1894,13.69,2.469380136,-0.24425,NA,2.82,NA,NA,NA,NA
1895,13.79,2.469527479,-0.095083333,NA,3.03,NA,NA,NA,NA
1896,13.85,2.469674773,0.10575,NA,2.8,NA,NA,NA,NA
1897,13.89,2.469822016,0.109083333,NA,2.46,NA,NA,NA,NA
1898,13.72,2.470116353,0.0735,NA,2.26,NA,NA,NA,NA
1899,13.85,2.470557485,0.12675,NA,2.14,NA,NA,NA,NA
1900,13.91,2.47099817,0.096416667,NA,1.98,13.696,NA,NA,NA
1901,13.86,2.471438407,0.087666667,NA,1.87,13.709,NA,NA,NA
1902,13.73,2.472024698,-0.10225,NA,1.73,13.711,NA,NA,NA
1903,13.65,2.472463897,-0.19325,NA,1.68,13.605,NA,NA,NA
1904,13.56,2.473048805,-0.348083333,NA,1.81,13.619,NA,NA,NA
1905,13.73,2.473632927,-0.203,NA,1.39,13.659,NA,NA,NA
1906,13.78,2.474361976,-0.0735,NA,2.03,13.701,NA,NA,NA
1907,13.6,2.474944335,-0.22725,NA,1.54,13.708,NA,NA,NA
1908,13.57,2.475525915,-0.130166667,NA,2.14,13.704,NA,NA,NA
1909,13.53,2.476106717,-0.137083333,NA,2.5,13.713,NA,NA,NA
1910,13.58,2.476686743,-0.2475,NA,2.08,13.743,NA,NA,NA
1911,13.56,2.477265995,-0.21325,NA,2.45,13.74,NA,NA,NA
1912,13.65,2.477699928,-0.227583333,NA,2.04,13.723,NA,NA,NA
1913,13.66,2.478277832,-0.38725,NA,1.35,13.688,NA,NA,NA
1914,13.84,2.478710756,-0.289583333,NA,1.22,13.671,NA,NA,NA
1915,13.89,2.479143248,0.094166667,NA,1.86,13.739,NA,NA,NA
1916,13.66,2.47957531,-0.075416667,NA,2.97,13.787,NA,NA,NA
1917,13.6,2.480150725,-0.278416667,NA,3.26,13.778,NA,NA,NA
1918,13.75,2.480581787,-0.259583333,NA,3.53,13.779,NA,NA,NA
1919,13.78,2.481012421,-0.1855,NA,3.92,13.812,NA,NA,NA
1920,13.74,2.481442629,-0.334333333,NA,3.63,13.785,NA,NA,NA
1921,13.79,2.482015576,-0.219416667,NA,3.06,13.757,NA,NA,NA
1922,13.73,2.48258777,-0.319083333,NA,2.17,13.815,NA,NA,NA
1923,13.77,2.48301642,-0.323166667,NA,2.41,13.838,NA,NA,NA
1924,13.73,2.483587297,-0.151416667,NA,1.53,13.787,NA,NA,NA
1925,13.81,2.484299839,-0.15825,NA,1.67,13.805,NA,NA,NA
1926,13.91,2.484869033,0.086833333,NA,2.5,13.799,NA,NA,NA
1927,13.8,2.485437481,0.111416667,NA,3.62,13.828,NA,NA,NA
1928,13.79,2.486146997,-0.004166667,NA,2.92,13.827,NA,NA,NA
1929,13.64,2.486855355,-0.109833333,NA,3.22,13.817,NA,NA,NA
1930,13.86,2.487421211,0.0125,NA,3.55,13.809,NA,NA,NA
1931,13.91,2.488127496,0.180416667,NA,3.84,13.789,NA,NA,NA
1932,13.84,2.488832634,0.23025,NA,2.83,13.815,NA,NA,NA
1933,13.72,2.489395922,0.194666667,NA,2.82,13.818,NA,NA,NA
1934,13.87,2.489958479,-0.005583333,NA,2.5,13.83,NA,NA,NA
1935,13.81,2.490520309,0.019666667,NA,2.24,13.87,NA,NA,NA
1936,13.85,2.491081413,0.152083333,NA,2.67,13.888,NA,NA,NA
1937,13.98,2.491361694,0.295166667,NA,3.09,13.822,NA,NA,NA
1938,13.98,2.491641793,0.242666667,NA,3.88,13.86,NA,NA,NA
1939,13.97,2.491781776,0.11025,NA,3.84,13.916,NA,NA,NA
1940,14.08,2.491921713,-0.028666667,NA,4.6,13.877,NA,NA,NA
1941,14.13,2.491921713,0.175,NA,3.93,13.91,NA,NA,NA
1942,14.1,2.491781776,0.18425,NA,4.23,13.905,NA,NA,NA
1943,14.14,2.491641793,0.03375,NA,3.21,13.894,NA,NA,NA
1944,14.26,2.491501766,0.349416667,NA,3.42,13.874,NA,NA,NA
1945,14.12,2.491501766,0.220083333,NA,2.9,13.936,NA,NA,NA
1946,13.96,2.491501766,0.018916667,NA,2.82,13.888,NA,NA,NA
1947,13.96,2.491641793,-0.085333333,NA,4.41,13.895,NA,NA,NA
1948,13.91,2.491781776,0.012,NA,5.12,13.95,NA,NA,NA
1949,13.91,2.492061605,0.09125,NA,4.22,13.911,NA,NA,NA
1950,13.82,2.492341253,-0.0095,25.02,4.68,13.949,NA,NA,NA
1951,13.93,2.492900011,0.202083333,26.23,4.64,13.959,NA,NA,NA
1952,14.01,2.493458051,0.293416667,25.72,4.22,13.944,NA,NA,NA
1953,14.08,2.494015375,0.26275,26.23,3.83,13.945,NA,NA,NA
1954,13.88,2.494711025,0.041416667,25.00,3.26,13.959,NA,NA,NA
1955,13.86,2.495544338,0.191083333,24.67,2.81,13.993,NA,NA,NA
